epoch,lr-AdamW,step,train/mlm_loss
,1.9800000000000004e-05,99,
,1.9800000000000004e-05,99,
,1.9800000000000004e-05,99,
,1.9800000000000004e-05,99,
0,,99,2.9226372241973877
,3.9800000000000005e-05,199,
,3.9800000000000005e-05,199,
,3.9800000000000005e-05,199,
,3.9800000000000005e-05,199,
0,,199,2.70554518699646
,5.9800000000000003e-05,299,
,5.9800000000000003e-05,299,
,5.9800000000000003e-05,299,
,5.9800000000000003e-05,299,
0,,299,2.694650173187256
